period_id,frame_idx,game_clock,wall_clock,live,last_touch_team_id,team_id,player_id,player_number,speed,x,y,z,ball_x,ball_y,ball_z,ball_speed
1,5,0.2,1649524084214,True,6900,1207,41700,3,0.97,-3.59,21.62,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,451375,40,2.05,-5.24,11.44,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,229903,99,0.74,-1.09,-17.07,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,442451,20,1.25,-17.01,-5.48,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,464785,31,0.87,-11.98,-1.12,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,244766,22,0.79,-16.76,3.38,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,471798,1,0.39,-49.25,0.0,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,107091,11,2.41,0.2,9.09,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,169707,30,0.63,-6.58,-6.3,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,119644,2,0.78,-16.21,-19.28,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,1207,427869,14,1.13,-15.67,15.57,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,246099,2,0.47,13.98,22.92,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,85601,6,0.27,20.04,-3.9,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,194730,8,0.76,14.42,-0.64,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,430360,9,0.8,-0.33,0.23,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,443002,4,0.77,18.15,-17.11,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,474038,17,2.08,1.14,-23.34,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,45215,7,0.92,0.29,15.89,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,174577,1,0.32,49.38,0.24,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,489381,5,0.54,10.9,6.44,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,421184,15,0.43,21.26,11.68,0.0,2.62,-0.09,0.2,12.88
1,5,0.2,1649524084214,True,6900,6900,78103,10,1.07,5.76,-8.28,0.0,2.62,-0.09,0.2,12.88
1,6,0.24,1649524084254,True,6900,1207,41700,3,1.08,-3.55,21.63,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,451375,40,2.15,-5.15,11.44,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,229903,99,0.76,-1.06,-17.05,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,442451,20,1.26,-17.01,-5.53,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,464785,31,0.93,-11.95,-1.1,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,244766,22,0.86,-16.75,3.41,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,471798,1,0.31,-49.24,0.0,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,107091,11,2.59,0.29,9.03,0.0,3.16,-0.11,0.2,12.81
1,6,0.24,1649524084254,True,6900,1207,169707,30,0.65,-6.56,-6.29,0.0,3.16,-0.11,0.2,12.81
